GEO_OBJECT,TIME_PERIOD,OBS_VALUE,code
DEP,2019,36258,69
DEP,2020,36173,69
DEP,2021,39119,69
DEP,2022,39012,69
DEP,2023,37481,69
DEP,2024,40393,69
DEP,2012,1434,70
DEP,2013,1405,70
DEP,2014,1457,70
DEP,2015,1322,70
DEP,2016,1308,70
DEP,2017,1409,70
DEP,2018,1502,70
DEP,2019,1750,70
DEP,2020,1937,70
DEP,2021,2089,70
DEP,2022,2185,70
DEP,2023,2267,70
DEP,2024,2315,70
DEP,2012,3500,71
DEP,2013,3506,71
DEP,2014,3580,71
DEP,2015,3416,71
DEP,2016,3550,71
DEP,2017,3681,71
DEP,2018,3914,71
DEP,2019,4645,71
DEP,2020,4983,71
DEP,2021,5985,71
DEP,2022,5965,71
DEP,2023,6063,71
DEP,2024,6312,71
DEP,2012,2717,72
DEP,2013,2942,72
DEP,2014,2851,72
DEP,2015,2839,72
DEP,2016,2739,72
DEP,2017,3142,72
DEP,2018,3478,72
DEP,2019,3988,72
DEP,2020,4324,72
DEP,2021,5135,72
DEP,2022,5403,72
DEP,2023,5487,72
DEP,2024,5978,72
DEP,2012,4454,73
DEP,2013,4489,73
DEP,2014,4629,73
DEP,2015,4284,73
DEP,2016,4435,73
DEP,2017,4776,73
DEP,2018,5493,73
DEP,2019,6142,73
DEP,2020,6530,73
DEP,2021,7431,73
DEP,2022,7515,73
DEP,2023,7232,73
DEP,2024,7807,73
DEP,2012,7310,74
DEP,2013,7449,74
DEP,2014,7773,74
DEP,2015,7273,74
DEP,2016,7771,74
DEP,2017,8516,74
DEP,2018,9136,74
DEP,2019,11104,74
DEP,2020,12042,74
DEP,2021,13552,74
DEP,2022,13759,74
DEP,2023,13137,74
DEP,2024,14292,74
DEP,2012,45584,75
DEP,2013,44928,75
DEP,2014,47932,75
DEP,2015,50624,75
DEP,2016,58546,75
DEP,2017,63560,75
DEP,2018,70695,75
DEP,2019,78151,75
DEP,2020,76781,75
DEP,2021,83990,75
DEP,2022,88925,75
DEP,2023,90970,75
DEP,2024,100973,75
REG,2012,49018,75
REG,2013,50913,75
REG,2014,51282,75
REG,2015,49859,75
REG,2016,51486,75
REG,2017,56868,75
REG,2018,64240,75
REG,2019,73115,75
REG,2020,74892,75
REG,2021,89009,75
REG,2022,89040,75
REG,2023,87108,75
REG,2024,92144,75
